Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
Ethane,C2H6,0.698255281,1.081593601,12.21302387,23.45342815,"Leverant et al., 2023"
Ethane,C2H6,0.718571604,1.172953095,12.21302387,24.61811108,"Leverant et al., 2023"
Ethane,C2H6,0.736412103,1.018740138,12.21302387,18.99973476,"Leverant et al., 2023"
Ethane,C2H6,0.757966338,0.967335819,12.21302387,16.28784013,"Leverant et al., 2023"
Ethane,C2H6,0.760587799,0.942988865,12.21302387,15.2574128,"Leverant et al., 2023"
Ethane,C2H6,0.764155899,1.042105738,12.21302387,16.80508767,"Leverant et al., 2023"
Ethane,C2H6,0.776607839,0.904108507,12.21302387,13.41394066,"Leverant et al., 2023"
Ethane,C2H6,0.807774098,1.018740138,12.21302387,13.09957675,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,12.21302387,8.452363595,"Leverant et al., 2023"
Ethane,C2H6,0.849644657,0.724333585,12.21302387,5.924967208,"Leverant et al., 2023"
Ethane,C2H6,0.854159395,0.789757263,12.21302387,6.590546337,"Leverant et al., 2023"
Ethane,C2H6,0.449289298,1.39843113,16.28403183,75.80596299,"Leverant et al., 2023"
Ethane,C2H6,0.4607946,1.426049269,16.28403183,79.27711563,"Leverant et al., 2023"
Ethane,C2H6,0.530991501,1.338475002,16.28403183,56.13652095,"Leverant et al., 2023"
Ethane,C2H6,0.590411285,1.267910891,16.28403183,44.30593851,"Leverant et al., 2023"
Ethane,C2H6,0.623179549,1.39258973,16.28403183,41.98235207,"Leverant et al., 2023"
Ethane,C2H6,0.625582555,1.238376774,16.28403183,37.76623894,"Leverant et al., 2023"
Ethane,C2H6,0.650486435,1.327166052,16.28403183,36.43522164,"Leverant et al., 2023"
Ethane,C2H6,0.685876159,1.238376774,16.28403183,29.57801674,"Leverant et al., 2023"
Ethane,C2H6,0.687041253,1.327166052,16.28403183,33.41178233,"Leverant et al., 2023"
Ethane,C2H6,0.698255281,1.081593601,16.28403183,25.06507932,"Leverant et al., 2023"
Ethane,C2H6,0.718571604,1.172953095,16.28403183,25.59348294,"Leverant et al., 2023"
Ethane,C2H6,0.736412103,1.018740138,16.28403183,19.27901943,"Leverant et al., 2023"
Ethane,C2H6,0.757966338,0.967335819,16.28403183,16.52942772,"Leverant et al., 2023"
